ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id
1779301354.9213,0.0000,0.0000,0.2270,39.98101802,116.34400946,49.9952,39.98099698,116.34398776,50.5907,2.1748,1.1553,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.9999,20
1779301355.0212,0.0000,0.0000,0.2270,39.98098539,116.34400311,50.3627,39.98103392,116.34400401,53.0423,1.6536,4.7226,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.9999,20
1779301355.1211,0.0000,0.0000,0.2270,39.98099613,116.34398500,48.0318,39.98100425,116.34398961,52.0358,2.5773,2.0690,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.1999,21
1779301355.2211,0.0000,0.0000,0.2270,39.98099119,116.34398718,47.0061,39.98098568,116.34399714,49.4328,3.5402,1.7972,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.1999,21
1779301355.3211,0.0000,0.0000,0.2270,39.98099873,116.34398458,47.5904,39.98102869,116.34397420,48.2959,2.9498,4.3327,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.3999,22
1779301355.4211,0.0000,0.0000,0.2270,39.98102475,116.34398071,54.5846,39.98099504,116.34397940,50.7393,5.4118,1.9120,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.3999,22
1779301355.5212,0.0000,0.0000,0.2270,39.98098670,116.34403040,49.8591,39.98100586,116.34401367,49.6628,3.0084,1.4503,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.6000,23
1779301355.6212,0.0000,0.0000,0.2270,39.98098147,116.34399765,49.8697,39.98100313,116.34399532,49.3940,2.1027,0.9873,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.6000,23
1779301355.7211,0.0000,0.0000,0.2270,39.98101365,116.34400829,50.4601,39.98100072,116.34400619,50.2271,1.6918,0.5336,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.7999,24
1779301355.8212,0.0000,0.0000,0.2270,39.98100426,116.34398731,50.0811,39.98102120,116.34403681,50.8058,1.1909,3.9702,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,4.7999,24
1779301355.9211,0.0000,0.0000,0.2270,39.98098501,116.34398658,52.0137,39.98100647,116.34400462,47.6101,2.6994,2.7426,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,5.0000,25
1779301356.0211,0.0000,0.0000,0.2270,39.98100612,116.34401631,48.5614,39.98100355,116.34399171,50.3057,2.2747,0.8142,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,5.0000,25
1779301356.1214,0.0000,0.0000,0.2270,39.98099861,116.34399486,49.8490,39.98101983,116.34400268,46.3770,0.5992,4.4437,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,True,0.5000,0.0000,26
1779301356.2210,0.0000,0.0000,0.2270,39.98100238,116.34399583,50.6710,39.98099605,116.34399891,50.3090,0.6273,0.4563,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,26
1779301356.3210,0.0000,0.0000,0.2270,39.98097933,116.34403038,51.5227,39.98099986,116.34399904,49.9638,3.6995,0.2762,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,27
1779301356.4210,0.0000,0.0000,0.2270,39.98101752,116.34399412,51.1010,39.98100264,116.34400508,50.3368,2.1951,0.5350,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,27
1779301356.5211,0.0000,0.0000,0.2270,39.98100592,116.34403067,51.4690,39.98100015,116.34399913,50.0526,2.9697,0.1902,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,28
